"","scan_date","first_seen","total","size","times_submitted","harmless_votes","malicious_votes","positives","submission.submitter_country","additional_info.exiftool.FileType","Year"
"1","2021-11-03 00:19:30","2021-11-03 00:19:30",60,2669106,1,0,0,21,"CA","ZIP","2021"
"2","2021-11-03 08:53:57","2021-11-03 08:53:57",61,1956125,1,0,0,20,"US","ZIP","2021"
"3","2021-11-03 00:26:03","2021-11-03 00:26:03",61,2667641,1,0,0,20,"CA","ZIP","2021"
"4","2021-11-03 08:12:06","2021-11-03 08:12:06",61,3998656,1,0,0,18,"UA","ZIP","2021"
"5","2021-11-03 08:44:36","2015-01-20 23:53:18",64,500276,263,18,13,26,"IE","ZIP","2015"
"6","2021-11-03 08:54:32","2021-11-03 08:54:32",62,1956125,1,0,0,20,"US","ZIP","2021"
"7","2021-11-03 08:22:50","2021-11-03 08:22:50",61,4137920,1,0,0,18,"UA","ZIP","2021"
"8","2021-11-03 07:43:10","2021-06-03 18:29:36",61,3031864,2,0,0,15,"UA","ZIP","2021"
"9","2021-11-03 00:25:19","2021-11-03 00:25:19",60,2669106,1,0,0,20,"CA","ZIP","2021"
"10","2021-11-03 08:00:30","2017-11-28 15:53:18",60,5884,4,0,0,25,"CZ","DEX","2017"
"11","2021-11-03 07:53:39","2021-09-13 03:45:21",62,3035859,2,0,0,24,"IT","ZIP","2021"
"12","2021-11-03 00:45:24","2021-11-03 00:45:24",61,2669106,1,0,0,19,"CA","ZIP","2021"
"13","2021-11-03 08:44:15","2021-11-03 08:44:15",63,15202016,1,0,0,17,"KR","ZIP","2021"
"14","2021-11-03 07:54:34","2021-11-03 07:54:34",63,8041344,1,0,0,17,"SG","ZIP","2021"
"15","2021-11-03 09:16:16","2018-07-07 07:04:03",59,307908,11,0,0,20,"CZ","DEX","2018"
"16","2021-11-03 08:16:40","2021-11-03 08:16:40",63,20353542,1,0,0,22,"CA","ZIP","2021"
"17","2021-11-03 07:54:29","2021-10-18 08:50:50",62,6122860,2,0,0,18,"IT","ZIP","2021"
"18","2021-11-03 00:00:26","2021-11-03 00:00:26",58,4804233,1,0,0,27,"CA","ZIP","2021"
"19","2021-11-03 00:37:21","2021-11-03 00:37:21",60,1955983,1,0,0,19,"US","ZIP","2021"
"20","2021-11-03 09:00:20","2019-10-01 03:13:27",56,48204,2,0,0,20,"CZ","DEX","2019"
"21","2021-11-03 07:50:10","2016-12-03 11:18:21",53,366676,2,0,0,21,"CZ","DEX","2016"
"22","2021-11-03 00:45:04","2021-11-03 00:45:04",62,2669106,1,0,0,22,"CA","ZIP","2021"
"23","2021-11-03 07:40:40","2015-04-07 10:32:52",59,1674660,20,0,0,25,"CZ","DEX","2015"
"24","2021-11-03 08:46:27","2017-10-27 21:12:27",59,424720,2,0,0,20,"CZ","DEX","2017"
"25","2021-11-03 07:55:42","2013-09-11 08:40:27",63,394574,18,0,0,21,"IT","ZIP","2013"
"26","2021-11-03 07:39:47","2018-04-16 22:03:40",59,5888,2,0,0,25,"CZ","DEX","2018"
"27","2021-11-03 07:39:19","2019-09-01 04:43:45",60,7116,2,0,0,17,"CZ","DEX","2019"
"28","2021-11-03 08:00:41","2017-08-18 16:45:45",59,17476,3,0,0,25,"CZ","DEX","2017"
"29","2021-11-03 07:40:00","2021-01-16 23:49:02",63,7032582,255,0,0,19,"MX","ZIP","2021"
"30","2021-11-03 07:39:44","2018-04-03 07:07:46",59,6004,3,0,0,26,"CZ","DEX","2018"
"31","2021-11-03 00:10:40","2021-11-03 00:10:40",63,8801847,1,0,0,15,"CA","ZIP","2021"
"32","2021-11-03 07:46:10","2017-12-28 05:51:06",59,774024,2,0,0,28,"CZ","DEX","2017"
"33","2021-11-03 00:08:52","2021-11-03 00:08:52",56,4804234,1,0,0,26,"CA","ZIP","2021"
"34","2021-11-03 08:16:18","2021-11-03 08:16:18",61,30711904,1,0,0,18,"CA","ZIP","2021"
"35","2021-11-03 08:24:09","2021-08-03 12:09:52",62,4506129,2,0,0,29,"LU","ZIP","2021"
"36","2021-11-03 07:50:25","2016-12-14 08:41:42",59,6160,4,0,0,22,"CZ","DEX","2016"
"37","2021-11-03 08:28:49","2021-11-03 08:28:49",60,2947134,1,0,0,20,"CA","ZIP","2021"
"38","2021-11-03 07:54:48","2021-10-18 02:40:12",62,6122893,2,0,0,21,"IT","ZIP","2021"
"39","2021-11-03 08:32:38","2021-11-03 08:32:38",62,1956249,1,0,0,18,"US","ZIP","2021"
"40","2021-11-03 08:18:57","2021-10-20 13:54:49",64,3903113,2,0,1,37,"IT","ZIP","2021"
"41","2021-11-03 09:15:59","2021-11-03 09:15:59",62,543672,1,0,0,24,"US","ZIP","2021"
"42","2021-11-03 08:16:20","2018-07-13 05:59:16",59,5884,2,0,0,25,"CZ","DEX","2018"
"43","2021-11-03 07:54:09","2021-10-21 10:15:18",61,6126959,2,0,0,20,"IT","ZIP","2021"
"44","2021-11-03 07:44:23","2016-01-06 01:51:40",59,1156,23,0,0,25,"CZ","DEX","2016"
"45","2021-11-03 09:22:12","2015-08-12 17:10:54",62,860113,16,0,0,36,"DE","ZIP","2015"
"46","2021-11-03 00:19:22","2021-11-03 00:19:22",60,2669106,1,0,0,19,"CA","ZIP","2021"
"47","2021-11-03 08:15:31","2021-11-03 08:15:31",62,1955964,1,0,0,21,"MX","ZIP","2021"
